relative_path,filename,label,extension,width,height,mode,error
CASIA2/Au/Au_ani_00001.jpg,Au_ani_00001.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00002.jpg,Au_ani_00002.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00003.jpg,Au_ani_00003.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00004.jpg,Au_ani_00004.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00005.jpg,Au_ani_00005.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00006.jpg,Au_ani_00006.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00007.jpg,Au_ani_00007.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00008.jpg,Au_ani_00008.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00009.jpg,Au_ani_00009.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00010.jpg,Au_ani_00010.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00011.jpg,Au_ani_00011.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00012.jpg,Au_ani_00012.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00013.jpg,Au_ani_00013.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00014.jpg,Au_ani_00014.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00015.jpg,Au_ani_00015.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00016.jpg,Au_ani_00016.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00017.jpg,Au_ani_00017.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00018.jpg,Au_ani_00018.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00019.jpg,Au_ani_00019.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00020.jpg,Au_ani_00020.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00021.jpg,Au_ani_00021.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00022.jpg,Au_ani_00022.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00023.jpg,Au_ani_00023.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00024.jpg,Au_ani_00024.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00025.jpg,Au_ani_00025.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00026.jpg,Au_ani_00026.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00027.jpg,Au_ani_00027.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00028.jpg,Au_ani_00028.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00029.jpg,Au_ani_00029.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00030.jpg,Au_ani_00030.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00031.jpg,Au_ani_00031.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00032.jpg,Au_ani_00032.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00033.jpg,Au_ani_00033.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00034.jpg,Au_ani_00034.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00035.jpg,Au_ani_00035.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00036.jpg,Au_ani_00036.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00037.jpg,Au_ani_00037.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00038.jpg,Au_ani_00038.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00039.jpg,Au_ani_00039.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00040.jpg,Au_ani_00040.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00041.jpg,Au_ani_00041.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00042.jpg,Au_ani_00042.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00043.jpg,Au_ani_00043.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00044.jpg,Au_ani_00044.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00045.jpg,Au_ani_00045.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00046.jpg,Au_ani_00046.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00047.jpg,Au_ani_00047.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00048.jpg,Au_ani_00048.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00049.jpg,Au_ani_00049.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00050.jpg,Au_ani_00050.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00051.jpg,Au_ani_00051.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00052.jpg,Au_ani_00052.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00053.jpg,Au_ani_00053.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00054.jpg,Au_ani_00054.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00055.jpg,Au_ani_00055.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00056.jpg,Au_ani_00056.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00057.jpg,Au_ani_00057.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00058.jpg,Au_ani_00058.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00059.jpg,Au_ani_00059.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00060.jpg,Au_ani_00060.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00061.jpg,Au_ani_00061.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00062.jpg,Au_ani_00062.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00063.jpg,Au_ani_00063.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00064.jpg,Au_ani_00064.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00065.jpg,Au_ani_00065.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00066.jpg,Au_ani_00066.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00067.jpg,Au_ani_00067.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00068.jpg,Au_ani_00068.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00069.jpg,Au_ani_00069.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00070.jpg,Au_ani_00070.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00071.jpg,Au_ani_00071.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00072.jpg,Au_ani_00072.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00073.jpg,Au_ani_00073.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00074.jpg,Au_ani_00074.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00075.jpg,Au_ani_00075.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00076.jpg,Au_ani_00076.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00077.jpg,Au_ani_00077.jpg,authentic,.jpg,334,500,RGB,
CASIA2/Au/Au_ani_00078.jpg,Au_ani_00078.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00079.jpg,Au_ani_00079.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00080.jpg,Au_ani_00080.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00081.jpg,Au_ani_00081.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00082.jpg,Au_ani_00082.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00083.jpg,Au_ani_00083.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00084.jpg,Au_ani_00084.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00085.jpg,Au_ani_00085.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00086.jpg,Au_ani_00086.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00087.jpg,Au_ani_00087.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00088.jpg,Au_ani_00088.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00089.jpg,Au_ani_00089.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00090.jpg,Au_ani_00090.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00091.jpg,Au_ani_00091.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00092.jpg,Au_ani_00092.jpg,authentic,.jpg,256,384,RGB,
CASIA2/Au/Au_ani_00093.jpg,Au_ani_00093.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00094.jpg,Au_ani_00094.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00095.jpg,Au_ani_00095.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00096.jpg,Au_ani_00096.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00097.jpg,Au_ani_00097.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00098.jpg,Au_ani_00098.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00099.jpg,Au_ani_00099.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_00100.jpg,Au_ani_00100.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10001.jpg,Au_ani_10001.jpg,authentic,.jpg,800,536,RGB,
CASIA2/Au/Au_ani_10002.jpg,Au_ani_10002.jpg,authentic,.jpg,800,536,RGB,
CASIA2/Au/Au_ani_10003.jpg,Au_ani_10003.jpg,authentic,.jpg,400,261,RGB,
CASIA2/Au/Au_ani_10004.jpg,Au_ani_10004.jpg,authentic,.jpg,640,480,RGB,
CASIA2/Au/Au_ani_10005.jpg,Au_ani_10005.jpg,authentic,.jpg,640,480,RGB,
CASIA2/Au/Au_ani_10101.jpg,Au_ani_10101.jpg,authentic,.jpg,240,180,RGB,
CASIA2/Au/Au_ani_10102.jpg,Au_ani_10102.jpg,authentic,.jpg,240,180,RGB,
CASIA2/Au/Au_ani_10103.jpg,Au_ani_10103.jpg,authentic,.jpg,240,180,RGB,
CASIA2/Au/Au_ani_10104.jpg,Au_ani_10104.jpg,authentic,.jpg,240,180,RGB,
CASIA2/Au/Au_ani_10105.jpg,Au_ani_10105.jpg,authentic,.jpg,240,180,RGB,
CASIA2/Au/Au_ani_10106.jpg,Au_ani_10106.jpg,authentic,.jpg,500,375,RGB,
CASIA2/Au/Au_ani_10107.jpg,Au_ani_10107.jpg,authentic,.jpg,500,375,RGB,
CASIA2/Au/Au_ani_10108.jpg,Au_ani_10108.jpg,authentic,.jpg,500,375,RGB,
CASIA2/Au/Au_ani_10109.jpg,Au_ani_10109.jpg,authentic,.jpg,500,375,RGB,
CASIA2/Au/Au_ani_10110.jpg,Au_ani_10110.jpg,authentic,.jpg,500,375,RGB,
CASIA2/Au/Au_ani_10111.jpg,Au_ani_10111.jpg,authentic,.jpg,500,375,RGB,
CASIA2/Au/Au_ani_10112.jpg,Au_ani_10112.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10113.jpg,Au_ani_10113.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10114.jpg,Au_ani_10114.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10115.jpg,Au_ani_10115.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10116.jpg,Au_ani_10116.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10117.jpg,Au_ani_10117.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10118.jpg,Au_ani_10118.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10119.jpg,Au_ani_10119.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10120.jpg,Au_ani_10120.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10121.jpg,Au_ani_10121.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10122.jpg,Au_ani_10122.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10123.jpg,Au_ani_10123.jpg,authentic,.jpg,384,256,RGB,
CASIA2/Au/Au_ani_10125.jpg,Au_ani_10125.jpg,authentic,.jpg,450,323,RGB,
CASIA2/Au/Au_ani_10126.jpg,Au_ani_10126.jpg,authentic,.jpg,600,450,RGB,
CASIA2/Au/Au_ani_10127.jpg,Au_ani_10127.jpg,authentic,.jpg,800,513,RGB,
CASIA2/Au/Au_ani_10128.jpg,Au_ani_10128.jpg,authentic,.jpg,800,600,RGB,
CASIA2/Au/Au_ani_10129.jpg,Au_ani_10129.jpg,authentic,.jpg,576,391,RGB,
CASIA2/Au/Au_ani_10130.jpg,Au_ani_10130.jpg,authentic,.jpg,600,347,RGB,
CASIA2/Au/Au_ani_10131.jpg,Au_ani_10131.jpg,authentic,.jpg,580,387,RGB,
CASIA2/Au/Au_ani_10132.jpg,Au_ani_10132.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10133.jpg,Au_ani_10133.jpg,authentic,.jpg,470,387,RGB,
CASIA2/Au/Au_ani_10134.jpg,Au_ani_10134.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10135.jpg,Au_ani_10135.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10136.jpg,Au_ani_10136.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10137.jpg,Au_ani_10137.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10138.jpg,Au_ani_10138.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10139.jpg,Au_ani_10139.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10140.jpg,Au_ani_10140.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10141.jpg,Au_ani_10141.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10142.jpg,Au_ani_10142.jpg,authentic,.jpg,600,387,RGB,
CASIA2/Au/Au_ani_10143.jpg,Au_ani_10143.jpg,authentic,.jpg,547,356,RGB,
CASIA2/Au/Au_ani_10144.jpg,Au_ani_10144.jpg,authentic,.jpg,540,405,RGB,
CASIA2/Au/Au_ani_10145.jpg,Au_ani_10145.jpg,authentic,.jpg,600,450,RGB,
CASIA2/Au/Au_ani_10146.jpg,Au_ani_10146.jpg,authentic,.jpg,600,450,RGB,
CASIA2/Au/Au_ani_10147.jpg,Au_ani_10147.jpg,authentic,.jpg,600,400,RGB,
CASIA2/Au/Au_ani_10148.jpg,Au_ani_10148.jpg,authentic,.jpg,572,341,RGB,
CASIA2/Au/Au_ani_10149.jpg,Au_ani_10149.jpg,authentic,.jpg,600,450,RGB,
CASIA2/Au/Au_ani_10150.jpg,Au_ani_10150.jpg,authentic,.jpg,600,359,RGB,
CASIA2/Au/Au_ani_10151.jpg,Au_ani_10151.jpg,authentic,.jpg,600,356,RGB,
CASIA2/Au/Au_ani_10152.jpg,Au_ani_10152.jpg,authentic,.jpg,480,360,RGB,
CASIA2/Au/Au_ani_10153.jpg,Au_ani_10153.jpg,authentic,.jpg,480,360,RGB,
CASIA2/Au/Au_ani_10154.jpg,Au_ani_10154.jpg,authentic,.jpg,480,642,RGB,
CASIA2/Au/Au_ani_10155.jpg,Au_ani_10155.jpg,authentic,.jpg,480,320,RGB,
CASIA2/Au/Au_ani_10156.jpg,Au_ani_10156.jpg,authentic,.jpg,480,377,RGB,
CASIA2/Au/Au_ani_10157.jpg,Au_ani_10157.jpg,authentic,.jpg,480,619,RGB,
CASIA2/Au/Au_ani_10158.jpg,Au_ani_10158.jpg,authentic,.jpg,780,464,RGB,
CASIA2/Au/Au_ani_10159.jpg,Au_ani_10159.jpg,authentic,.jpg,519,740,RGB,
CASIA2/Au/Au_ani_10160.jpg,Au_ani_10160.jpg,authentic,.jpg,589,330,RGB,
CASIA2/Au/Au_ani_10161.jpg,Au_ani_10161.jpg,authentic,.jpg,546,311,RGB,
